"Name","ShortDescription","DocumentType","LocationOrPath","Justification","AvailabilityFlag","ProvenanceTag","PriorityScore","PriorityRationale","SuggestedIngestionFormat","EstimatedSizeMB","AccessNotes"
"Optomec Aerosol Jet Technology overview","Official AJP process description (atomization + carrier/sheath focusing).","vendor doc","https://optomec.com/printed-electronics/aerosol-jet-technology/","Defines core process terms and mechanisms for parameter/fault reasoning.","Available/Open","OfficialVendor","5","Core process baseline.","text","0.5","Snapshot HTML; record retrieval date."
"Optomec AJ HD2-3x product page","HD2-3x features, options, and system capabilities overview.","vendor doc","https://optomec.com/aj-hd2/","Maps user-facing capabilities (vision/logging/options) to corpus steps and diagnostics.","Available/Open","OfficialVendor","5","Directly reflects target platform.","text","0.5","Snapshot HTML; note your installed configuration."
"Optomec Customer Support / OptoCare overview","Explains OptoCare resources (manuals, training, parts lists).","vendor doc","https://optomec.com/customer-support/","Defines where Tier-1 manuals/recipes reside; supports access planning.","Available/Open","OfficialVendor","5","Gate to highest-authority manuals.","text","0.5","Snapshot HTML; document portal credential steps."
"Optomec Datasheets & Whitepapers index","Index page linking core Aerosol Jet PDFs and whitepapers.","vendor doc","https://optomec.com/resources/datasheets-additive-manufacturing/","Efficient discovery hub for additional official Optomec PDFs to ingest.","Available/Open","OfficialVendor","4","High leverage for scaling vendor set.","text","0.5","Use as seed list; crawl linked PDFs and store hashes."
"Optomec Aerosol Jet Software page","Overview of software, digital process recipes, and support.","vendor doc","https://optomec.com/printed-electronics/aerosol-jet-software/","Supports recipe concept and software-driven workflows for training corpus.","Available/Open","OfficialVendor","4","Clarifies recipe/software role.","text","0.5","Snapshot HTML; extract key terminology for chunks."
"Optomec Software page","Optomec software overview incl. Digital Process Recipes concept.","vendor doc","https://optomec.com/optomec-software/","Reinforces 'recipes' as a knowledge object and quality mechanism.","Available/Open","OfficialVendor","4","Supports corpus emphasis on recipes.","text","0.5","Snapshot HTML; capture any linked brochures."
"Optomec Aerosol Jet Materials page","Overview of supported materials and recipes for quality results.","vendor doc","https://optomec.com/printed-electronics/aerosol-jet-materials/","Material compatibility and recipe framing supports parameter nodes.","Available/Open","OfficialVendor","4","Material scope framing.","text","0.5","Snapshot HTML; note any material categories used on-site."
"Optomec Aerosol Jet HD page","Marketing/tech overview for high density printed electronics.","vendor doc","https://optomec.com/printed-electronics/aerosol-jet-printers/aerosol-jet-high-density-printed-electronics/","Adds capability statements (fine features, materials, process recipes) relevant to repair.","Available/Open","OfficialVendor","3","Useful capability context.","text","0.5","Snapshot HTML; extract only operationally relevant sections."
"Optomec Videos & Webinars index","Landing page for Optomec videos and webinars.","video","https://optomec.com/videos-webinars/","Visual demonstrations support tacit cues and scenario realism.","Available/Open","OfficialVendor","3","Helps build 'what good looks like' gallery.","video","0.5","Create per-video entries if downloading/transcripts permitted."
"Optocare Product Support page","Support options and service contact entry point.","vendor doc","https://optomec.com/contact-us/optocare-product-support/","Defines escalation/support paths to encode in safety/troubleshooting procedures.","Available/Open","OfficialVendor","3","Supports escalation nodes.","text","0.5","Snapshot HTML; capture support channels for runbooks."
